 
PerIsn      48     409       4      80    0.04000000    0.88137359    -589
    1    0.619873446359E+00    0.635643109036E-03     0.01805
    2    0.404984387937E+00    0.698903112234E-03     0.01126
    3    0.414015748405E+00    0.656040554769E-03     0.00948
    4    0.200329580738E+00    0.484085510072E-03    -0.00107
    5    0.146870117188E+00    0.390097671417E-03    -0.00445
    6    0.450383300781E+00    0.148354260837E-02    -0.00575
    7    0.228081054687E+00    0.129124741147E-02     0.04964
    8   -0.577880859375E-02    0.390498331737E-02     0.03041
    9    0.740384697384E+00    0.395434812509E-03     0.00999
   10    0.556895275931E+00    0.541640435902E-03     0.00586
   11    0.000000000000E+00    0.000000000000E+00     0.00000
   12    0.000000000000E+00    0.000000000000E+00     0.00000
   13    0.556938706310E+00    0.541589395362E-03     0.00586
   14    0.326161080171E+00    0.543011068890E-03    -0.00118
   15    0.127612304687E-01    0.175047971540E-03     0.03028
   16    0.973278808594E+00    0.362111721643E-03     0.02403
   17    0.898437500000E-03    0.477245383830E-04     0.00781
   18    0.972380371094E+00    0.378300626333E-03     0.02079
   19    0.647179741330E-01    0.303034651754E-03     0.01510
   20    0.108083756374E-01    0.865097470410E-04     0.02889
   21    0.000000000000E+00    0.000000000000E+00     0.00000
   22    0.000000000000E+00    0.000000000000E+00     0.00000
   23    0.111543080473E-01    0.872221726091E-04     0.02799
   24    0.792743411820E-03    0.897382319002E-05     0.04153
   25    0.183337402344E-01    0.222039672842E-03     0.05945
   26    0.295654296875E-02    0.973016560175E-04    -0.06388
   27    0.959750976563E+00    0.486438221036E-03     0.04354
   28   -0.953837890625E+00    0.603320693137E-03     0.00471
   29    0.740397932265E+00    0.395264919724E-03     0.00994
   30    0.556905545922E+00    0.541516427321E-03     0.00583
   31    0.000000000000E+00    0.000000000000E+00     0.00000
   32    0.000000000000E+00    0.000000000000E+00     0.00000
   33    0.557793713431E+00    0.533703513524E-03     0.01004
   34    0.972380371094E+00    0.378300626333E-03     0.02079
   35    0.202111816406E-01    0.243543716660E-03     0.03386
   36    0.975490722656E+00    0.334177085378E-03     0.03797
   37    0.195312500000E-04    0.688167379966E-05    -0.00788
   38    0.155859375000E-01    0.282368589724E-03    -0.01485
   39    0.948784943187E+00    0.361007039921E-03     0.04205
   40    0.855635195243E+00    0.731555856254E-03     0.03187
   41    0.984331388347E+00    0.110883286877E-03     0.03985
   42    0.000000000000E+00    0.000000000000E+00     0.00000
   43    0.951004707318E+00    0.319279868461E-03     0.03457
   44    0.387515785572E+00    0.978928108714E-03     0.01991
   45    0.000000000000E+00    0.000000000000E+00     0.00000
   46    0.156946858414E+00    0.855243005781E-03     0.00516
   47    0.984348426975E+00    0.110583372668E-03     0.03993
   48    0.000000000000E+00    0.000000000000E+00     0.00000
   49    0.319971315745E+00    0.541100386835E-03     0.01327
 
PerIsn      48     409       4      80    0.03400000    0.88137359    -586
    1    0.621134000354E+00    0.634607442103E-03     0.04599
    2    0.406464586588E+00    0.700804175325E-03     0.05267
    3    0.415459516802E+00    0.657675854212E-03     0.05410
    4    0.201443229359E+00    0.486932584238E-03     0.06323
    5    0.146953125000E+00    0.408827193582E-03    -0.02942
    6    0.453315429688E+00    0.148670052637E-02     0.03036
    7    0.224594726562E+00    0.126866893825E-02     0.02474
    8    0.412597656250E-02    0.385896110357E-02     0.02952
    9    0.697668352127E+00    0.400390290531E-03     0.05554
   10    0.495561159258E+00    0.516174103668E-03     0.05811
   11    0.000000000000E+00    0.000000000000E+00     0.00000
   12    0.000000000000E+00    0.000000000000E+00     0.00000
